wind_mw,solar_mw,storage_mwh,import_mw,demand_mult,unserved_mwh,curtailment_mwh,renewable_share_pct,operational_cost_eur,capex_eur,total_cost_eur
872.7983071479412,2810.786740594891,1342.462826617185,333.6377583282382,1.4390199284169216,5628.6,117033.3,25.66,354534737.0,134706404.0,489241141.0
1589.87952664231,982.0418355039378,728.384035544108,314.4399802042629,0.9945669891749999,0.0,1718.4,28.55,233955481.0,103594327.0,337549808.0
308.1283317504696,3398.1426920539507,875.8080743975065,383.31982277740985,1.3378114252064268,315.8,337607.9,25.06,331474974.0,133991077.0,465466051.0
1152.9905410522963,3398.188152223618,1560.6029878187844,479.3695641245404,1.1258156840884959,0.0,598232.9,35.74,238198911.0,196029968.0,434228878.0
2057.1267711672112,2605.4696566932257,1902.3893200076823,118.47857721704136,1.4103202075144696,21598.3,128228.4,34.45,304161586.0,249932677.0,554094263.0
1328.2990481216677,442.57569235645866,1176.5159999384414,686.0963651054489,0.9073816115331618,0.0,0.0,22.0,233021280.0,92418834.0,325440114.0
947.2529504400416,2996.200225642646,590.7180506881797,458.5480817985511,1.1653884762407358,0.0,356644.9,31.53,262754001.0,129055402.0,391809403.0
629.5186111575949,3333.944080721462,1562.5880708630318,110.5884109961105,1.4982207947025439,121828.0,223684.4,25.38,365525812.0,150652329.0,516178141.0
1833.132050681649,1030.5876294464615,1673.7931593218764,106.41953187138287,1.4994628382845432,84027.3,0.0,21.17,387373700.0,153356364.0,540730064.0
1387.9526747821294,2359.953806478433,180.8814539682655,897.0333988966253,0.9173997019226817,0.0,337304.9,38.98,184306471.0,126259097.0,310565568.0
502.1265010157916,519.1694068548851,1553.535881384437,198.20422721289788,1.4463829362785312,56038.0,0.0,7.65,441225176.0,44901360.0,486126536.0
1368.320946997817,131.27063909574727,10.859668257400923,51.657917014398926,1.2635551065886366,12110.1,0.0,13.7,358709529.0,62419782.0,421129311.0
1671.0895756418809,865.9467388774201,1698.8176858461459,57.23194015326038,1.3805783121850057,40925.7,0.0,20.43,360459749.0,139133135.0,499592884.0
1934.4534719092046,2802.7534887489014,1396.2415679572744,837.980218655383,0.9240907797282398,0.0,616967.1,46.73,162090051.0,233786924.0,395876975.0
420.7157008492305,453.47295587948435,1009.061980385973,745.1881283288445,1.2780071067458392,0.0,0.0,7.4,390516380.0,29164602.0,419680982.0
1774.6083430036344,563.4231625611599,1469.242183870323,193.0414908689041,1.0624552507906802,0.0,0.0,24.83,262915591.0,142046170.0,404961761.0
1480.1512938315186,3558.143369182215,1223.087211954139,54.500314991295596,1.2697853819565197,5894.7,558781.7,36.34,265990309.0,224396023.0,490386332.0
88.30090004464839,3209.4489322615464,1419.1565702012415,173.12784642250324,0.9550326034945189,0.0,585088.5,27.29,228637184.0,140323508.0,368960691.0
382.66678221546505,3557.498661781719,917.1212849169797,784.080948341408,1.2818450052646662,0.0,453118.8,26.99,308720172.0,143099828.0,451820000.0
1193.481417663759,526.8228244341304,1892.04890711619,301.34263251471793,1.2468103294845254,0.0,0.0,15.42,347460554.0,100664322.0,448124876.0
1459.032844468203,2356.716353540471,1881.188819391037,148.438989920058,1.2050116430681652,140.6,130856.8,32.42,268200860.0,181798061.0,449998920.0
842.4117046944971,1721.2324880219037,238.43505239548924,134.09460987276535,1.0668453274687544,0.0,27303.9,25.08,263159191.0,45879644.0,309038835.0
635.3090988413333,1553.2886656633004,1221.9750940732565,634.629117418263,1.1470865379513422,0.0,2381.9,20.01,302135449.0,52368385.0,354503834.0
852.3127831588334,789.991551909972,1176.6124968180166,317.0409113172379,0.9216359005664182,0.0,0.0,19.39,244577123.0,48517509.0,293094632.0
872.3640920670539,1721.1016105773183,451.185736408422,572.4579331221157,1.2394631402591525,0.0,6645.9,22.07,318255354.0,54784964.0,373040318.0
1463.6745476151243,2352.0529903903926,1304.866113042063,316.2141518240431,1.3724593331915722,949.9,64544.0,29.06,321511441.0,165337315.0,486848756.0
1144.9660398053315,1566.0480485030012,1252.0249618821142,360.65733445025427,1.207643546764055,0.0,3877.5,24.03,302177494.0,95374679.0,397552172.0
1536.0313604854293,3217.642478807059,1842.1143945903832,503.6329251830992,1.2121650688443415,0.0,460914.7,36.77,252423785.0,230530286.0,482954071.0
1667.729806442599,1141.4560110314505,1674.7647246901372,494.14164651742345,0.969514034601161,0.0,7566.4,31.8,217707952.0,138128041.0,355835992.0
150.2433216470876,3056.435356073251,111.1358338137558,280.6114361336559,1.1004780243009276,0.0,377456.4,25.24,270865647.0,94918512.0,365784160.0
360.6934182244731,1139.432932381221,1485.3851334501712,14.682843560070769,1.396304054712412,146971.7,0.0,11.19,402662898.0,42931621.0,445594518.0
1785.9026291529538,1351.30951068532,307.2257981212696,600.8404079450809,0.9718035335189367,0.0,24286.4,35.1,207638537.0,116520920.0,324159457.0
760.8568678481565,3479.09792667053,1990.9289451672742,772.1048913545856,1.0865769059524597,0.0,642193.0,33.07,239468856.0,176316365.0,415785221.0
