id,name,voltage_kv,latitude,longitude,operator,data_quality
sub_35451776,Mustvee alajaam,110.0,58.84955435555563,26.915379866666736,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35550404,Paldiski alajaam,110.0,59.35501674117659,24.082560364705895,Elering;Eesti Energia,assumed_network_credible_reconstruction
sub_35550410,Järvakandi alajaam,110.0,58.782011133333505,24.81380826666666,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35550412,Valgu alajaam,110.0,58.81411558571447,24.578607999999974,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35550415,Kehtna alajaam,110.0,58.900330800000155,24.826769855555508,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35555161,Kadrina 110 kV alajaam,110.0,59.340416500000025,26.123805877777766,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35555163,Viitna alajaam,110.0,59.44991785714291,26.03868885714285,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35555165,Võsu alajaam,110.0,59.569910044444455,25.974691300000003,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35555166,Loksa alajaam,110.0,59.58560388750004,25.73429556250001,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35555171,Kolga alajaam,110.0,59.49782285555565,25.610281855555538,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35555173,Viru-Nigula alajaam,110.0,59.44085670000006,26.76298881999997,Elering,assumed_network_credible_reconstruction
sub_35555175,Kunda alajaam,110.0,59.49555491666669,26.521603883333302,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35594687,Ruusa alajaam,110.0,58.03693827500001,27.294647437500004,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35594688,Alatskivi alajaam,110.0,58.58540907999996,27.12614802000001,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35594697,Pargi alajaam,110.0,59.33739876666666,27.422240266666662,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35594708,Narva Peaalajaam,110.0,59.37360843846149,28.15706423846154,VKG Elektrivõrgud,assumed_network_credible_reconstruction
sub_35594731,Kullamaa alajaam,110.0,58.88609621111108,24.08857764444445,Elering,assumed_network_credible_reconstruction
sub_35594741,Puhja alajaam,110.0,58.32847551666662,26.299390250000002,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_36977398,Oiu alajaam,110.0,58.40784663749997,25.978971912499933,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_72668114,Iru alajaam,110.0,59.45213360000009,24.922048633333393,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_85487602,Volta alajaam,110.0,59.45075277500007,24.721117120000027,Elektrilevi,assumed_network_credible_reconstruction
sub_94121285,Kreenholmi alajaam,110.0,59.35952011428549,28.185933342857208,VKG Elektrivõrgud,assumed_network_credible_reconstruction
sub_99350295,Veskimetsa alajaam,110.0,59.41654633636376,24.671959836363673,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_99369449,Kadaka alajaam,110.0,59.40128701818194,24.642652963636387,Elering,assumed_network_credible_reconstruction
sub_101153487,Voldi alajaam,110.0,58.54269022999993,26.58174266000001,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_101177924,Aulepa alajaam,110.0,59.093554179999884,23.58856229000001,Elering,assumed_network_credible_reconstruction
sub_115319447,Oru alajaam,110.0,59.36652016666668,27.565178088888846,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_122061788,Ülejõe alajaam,110.0,58.392871509091066,26.74164160000006,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_123621357,Нарвская ГЭС-13,110.0,59.368865475000035,28.213404658333342,,assumed_network_credible_reconstruction
sub_139400061,Eesti EJ OT alajaam,110.0,59.271529183333506,27.91146314999997,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_180118919,Saare alajaam,110.0,58.669669799999966,26.7772336,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_181771660,Reinu alajaam,110.0,58.34581000999981,25.568385040000045,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_182242759,Rõuge alajaam,110.0,57.73604808750005,26.941645950000055,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_182774903,Linda alajaam,110.0,57.83902617500005,26.48653290833335,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_204914596,Aruküla alajaam,330.0,59.36072448571447,25.041866092857187,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_205980356,Ahtme alajaam,110.0,59.314945600000044,27.45871638750006,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_243697368,Substation 243697368,110.0,59.24426963333341,24.70572504999998,,assumed_network_credible_reconstruction
sub_262229346,Keila alajaam,110.0,59.31795643333322,24.453388100000083,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_262457166,Rõngu alajaam,110.0,58.134947190000034,26.24488980999996,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_262584305,Tööstuse alajaam,110.0,58.34595486250008,26.732311637499997,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_262671975,Liiva alajaam,110.0,59.50130526000007,26.549686479999963,Elering,assumed_network_credible_reconstruction
sub_262755193,Vigala alajaam,110.0,58.75088725000025,24.26268244999995,Elering;Elektrilevi,assumed_network_credible_reconstruction
